what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431084638703
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431084642687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431084666437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084669796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084670703
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431084670718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084675046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084679500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084685531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084739562
error,log,,,"Internal error logged from CDI Debug: ",1431084741125
error,log,,,"Internal error logged from CDI Debug: ",1431084741125
error,log,,,"Internal error logged from CDI Debug: ",1431084741125
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1431084741359
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431084746703
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1431084746796
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431084748234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084759578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084760250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084760562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431084768718
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431084768734
