what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1430968075093
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968075093
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968076187
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1430968077796
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968077796
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968078687
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1430968080234
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968081203
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1430968082328
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968083093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968084718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968092156
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1430968108968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968111796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968114359
error,log,,,"Internal error logged from CDI Debug: ",1430968114765
error,log,,,"Internal error logged from CDI Debug: ",1430968114765
error,log,,,"Internal error logged from CDI Debug: ",1430968114765
error,log,,,"Internal error logged from CDI Debug: ",1430968114781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968118312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968120734
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968120734
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430968122500
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968172328
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968183296
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430968183421
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1430968184093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968186062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968186953
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430968186953
error,log,,,"Internal error logged from CDI Debug: ",1430968194312
error,log,,,"Internal error logged from CDI Debug: ",1430968194312
error,log,,,"Internal error logged from CDI Debug: ",1430968194312
error,log,,,"Internal error logged from CDI Debug: ",1430968194328
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430968199750
error,log,,,"Internal error logged from CDI Debug: ",1430968199968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968202078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968204640
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968204640
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430968206234
error,log,,,"Internal error logged from CDI Debug: ",1430968211593
error,log,,,"Internal error logged from CDI Debug: ",1430968211593
error,log,,,"Internal error logged from CDI Debug: ",1430968211593
error,log,,,"Internal error logged from CDI Debug: ",1430968211609
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430968218625
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968318500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968328453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968404468
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968416296
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430968416390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1430968417656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968419828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968420765
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430968420781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968424500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968428078
error,log,,,"Internal error logged from CDI Debug: ",1430968430812
error,log,,,"Internal error logged from CDI Debug: ",1430968430812
error,log,,,"Internal error logged from CDI Debug: ",1430968430812
error,log,,,"Internal error logged from CDI Debug: ",1430968430828
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430968432921
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968434000
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430968434656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968438046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968438812
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430968438828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968439765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968443296
error,log,,,"Internal error logged from CDI Debug: ",1430968446796
error,log,,,"Internal error logged from CDI Debug: ",1430968446796
error,log,,,"Internal error logged from CDI Debug: ",1430968446796
error,log,,,"Internal error logged from CDI Debug: ",1430968446812
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968451421
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430968452921
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968458328
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1430968458500
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1430968460500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968460515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968462140
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968463125
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430968474921
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430968476515
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968477484
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430968477578
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968478421
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430968478609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968479765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968482171
error,log,,,"Internal error logged from CDI Debug: ",1430968487375
error,log,,,"Internal error logged from CDI Debug: ",1430968487375
error,log,,,"Internal error logged from CDI Debug: ",1430968487375
error,log,,,"Internal error logged from CDI Debug: ",1430968487406
activated,view,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1430968492468
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1430968493328
activated,view,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1430968494000
closed,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1430968494015
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430968496390
activated,view,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1430968496968
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430968497625
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968498765
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430968501281
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430968505000
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1430968505359
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1430968509109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968509125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968510515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968511859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968514890
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430968514890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968515875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968516703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968558921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430968559375
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1430968565093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1430968567812
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1430968578906
