what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431246802062
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431246803921
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431246807234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431246823578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247303312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247303984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247305687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247307734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247309234
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431247309250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247309828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247310531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247312890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247315453
error,log,,,"Internal error logged from CDI Debug: ",1431247319437
error,log,,,"Internal error logged from CDI Debug: ",1431247319437
error,log,,,"Internal error logged from CDI Debug: ",1431247319437
error,log,,,"Internal error logged from CDI Debug: ",1431247319437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247319656
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247320468
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247320593
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431247338078
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247339296
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247340796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247346781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247349750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247350296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247391515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431247398468
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431247402765
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247404593
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431247404687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247406890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247407843
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431247407859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247408140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247408171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247408453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247408984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247411203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247413359
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247413375
error,log,,,"Internal error logged from CDI Debug: ",1431247417437
error,log,,,"Internal error logged from CDI Debug: ",1431247417437
error,log,,,"Internal error logged from CDI Debug: ",1431247417437
error,log,,,"Internal error logged from CDI Debug: ",1431247417437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247417656
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247419390
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247419484
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431247429546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247435640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247437640
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247437687
error,log,,,"Internal error logged from CDI Debug: ",1431247441218
error,log,,,"Internal error logged from CDI Debug: ",1431247441218
error,log,,,"Internal error logged from CDI Debug: ",1431247441218
error,log,,,"Internal error logged from CDI Debug: ",1431247441234
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247442546
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247442687
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431247454140
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247455625
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247459437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247461312
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247462671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247477937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247549781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431247560562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247571250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247572796
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431247572812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247573375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247574000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247577609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247579656
error,log,,,"Internal error logged from CDI Debug: ",1431247584109
error,log,,,"Internal error logged from CDI Debug: ",1431247584109
error,log,,,"Internal error logged from CDI Debug: ",1431247584109
error,log,,,"Internal error logged from CDI Debug: ",1431247584109
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247584359
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247585125
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247585234
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431247597468
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247599343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431247603312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247605546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247606609
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431247606625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247607203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247607703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247612593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247615484
error,log,,,"Internal error logged from CDI Debug: ",1431247619156
error,log,,,"Internal error logged from CDI Debug: ",1431247619156
error,log,,,"Internal error logged from CDI Debug: ",1431247619156
error,log,,,"Internal error logged from CDI Debug: ",1431247619171
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247620359
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247620500
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431247638343
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247640203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431247644437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247647156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247648250
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431247648265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247648812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247649250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247653328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247655718
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247659953
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247659968
error,log,,,"Internal error logged from CDI Debug: ",1431247661609
error,log,,,"Internal error logged from CDI Debug: ",1431247661609
error,log,,,"Internal error logged from CDI Debug: ",1431247661609
error,log,,,"Internal error logged from CDI Debug: ",1431247661609
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247661859
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247664000
activated,perspective,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.CPerspective",1431247671468
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431247671484
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247673281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431247676156
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1431247677390
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247677468
activated,perspective,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.CPerspective",1431247679656
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431247679656
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247682734
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247684046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247686390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247687546
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431247687562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247688156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247688625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247692250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247694687
error,log,,,"Internal error logged from CDI Debug: ",1431247698921
error,log,,,"Internal error logged from CDI Debug: ",1431247698921
error,log,,,"Internal error logged from CDI Debug: ",1431247698921
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1431247699187
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247699265
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247700890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247700906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247704140
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431247705343
error,log,,,"Internal error logged from CDI Debug: ",1431247721687
error,log,,,"Internal error logged from CDI Debug: ",1431247721687
error,log,,,"Internal error logged from CDI Debug: ",1431247721687
error,log,,,"Internal error logged from CDI Debug: ",1431247721703
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247723234
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431247728093
activated,perspective,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.CPerspective",1431247729953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431247729984
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247732156
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431247738718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247743031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247744062
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431247744062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247744671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247745468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247749921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247753171
error,log,,,"Failed command: c",1431247757250
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1431247757375
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431247757453
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431247757531
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1431247759890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247759906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431247763031
activated,perspective,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.CPerspective",1431247773500
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431247773500
