what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430905688484
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430905688609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1430905693656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905695296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905696484
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430905696484
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430905700171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1430905703281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905705156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905706250
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430905706265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905712187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905718265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1430905725453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905727906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905728796
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430905728812
error,log,,,"Internal error logged from CDI Debug: ",1430905736609
error,log,,,"Internal error logged from CDI Debug: ",1430905736609
error,log,,,"Internal error logged from CDI Debug: ",1430905736609
error,log,,,"Internal error logged from CDI Debug: ",1430905736625
activated,view,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1430905738187
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430905739500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905740687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905757046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905758296
error,log,,,"Internal Error",1430905760093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905760109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905761515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905765359
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430905765359
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430905765906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905768734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905773671
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430905776953
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430905777171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905781281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905782046
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430905782062
error,log,,,"Internal error logged from CDI Debug: ",1430905788390
error,log,,,"Internal error logged from CDI Debug: ",1430905788390
error,log,,,"Internal error logged from CDI Debug: ",1430905788390
error,log,,,"Internal error logged from CDI Debug: ",1430905788406
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430905791812
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430905793468
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430905809187
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430905809359
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430905811125
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430905811375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905815734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905819921
error,log,,,"Internal error logged from CDI Debug: ",1430905825578
error,log,,,"Internal error logged from CDI Debug: ",1430905825578
error,log,,,"Internal error logged from CDI Debug: ",1430905825578
error,log,,,"Internal error logged from CDI Debug: ",1430905825593
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1430905830312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430905948234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430907125718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430907129953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430907167640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430907168406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430907170390
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430907170406
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430907170515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430908119406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430909340734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430909346359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430909849546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430913866390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430913866437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430913870156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430913870328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430913871578
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430913871859
stopped,bundle,com.zylin.embeddedcdt,4.16.1,"com.zylin.embeddedcdt",1430913874203
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1430913874203
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1430913874203
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1430913874203
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1430913874343
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1430913874343
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1430913874343
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1430913874453
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1430913874453
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1430913874453
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1430913874453
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1430913874453
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1430913874453
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1430913874453
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1430913874515
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1430913874515
activated,perspective,org.eclipse.debug.ui,,"org.eclipse.debug.ui.DebugPerspective",1430916412937
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1430916412937
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1430916412937
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1430916412953
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1430916412953
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1430916412984
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1430916413015
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1430916413015
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1430916413046
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1430916413046
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1430916413062
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1430916413078
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1430916413078
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1430916413093
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1430916413109
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1430916413109
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1430916413109
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1430916413109
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1430916413109
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1430916413125
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1430916413125
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1430916413125
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1430916413140
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1430916413140
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1430916413140
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1430916413171
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1430916413187
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1430916413187
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1430916413187
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1430916413187
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1430916413187
