what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430916712828
java.specification.version,sysinfo,,,"1.6",1430916712828
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1430916712828
java.version,sysinfo,,,"1.6.0_07",1430916712828
java.vm.info,sysinfo,,,"mixed mode",1430916712828
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1430916712828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430916712828
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430916712828
java.vm.specification.version,sysinfo,,,"1.0",1430916712828
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1430916712828
java.vm.version,sysinfo,,,"10.0-b23",1430916712828
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1430916712875
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1430916712875
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1430916712906
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1430916713125
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1430916713218
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1430916713453
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1430916713453
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1430916713500
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1430916713578
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1430916718281
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1430916718296
