what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1430903349312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1430903351375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903377140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903467515
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430903473015
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430903473843
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430903474765
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430903476031
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1430903484140
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430903486546
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430903486671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903491250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903492953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1430903500796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903502812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903503859
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430903503859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903509375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903512312
error,log,,,"Internal error logged from CDI Debug: ",1430903517703
error,log,,,"Internal error logged from CDI Debug: ",1430903517703
error,log,,,"Internal error logged from CDI Debug: ",1430903517703
error,log,,,"Internal error logged from CDI Debug: ",1430903517734
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.MemoryView",1430903520343
error,log,,,"Error logged from Debug UI: ",1430903526296
error,log,,,"Error logged from Debug UI: ",1430903529390
error,log,,,"Error logged from Debug UI: ",1430903534062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903538062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903543000
error,log,,,"Error logged from Debug UI: ",1430903543015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903546828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903549671
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1430903551359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903552437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903554781
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430903554921
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430903554953
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1430903555906
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1430903555906
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1430903557578
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1430903557671
error,log,,,"Internal error logged from CDI Debug: ",1430903557875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903564140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903577625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903581906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1430903583546
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1430903583546
error,log,,,"Internal error logged from CDI Debug: ",1430903590093
error,log,,,"Internal error logged from CDI Debug: ",1430903590093
error,log,,,"Internal error logged from CDI Debug: ",1430903590093
error,log,,,"Internal error logged from CDI Debug: ",1430903590125
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.MemoryView",1430903592140
error,log,,,"Error logged from Debug UI: ",1430903593906
