what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431231470531
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431231472578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231480875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231482890
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431231482906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231483171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231483234
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431231494734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431231506718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231509156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231511046
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431231511046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231515484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231516609
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431231516625
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431231521125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431231530875
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431231531734
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431231533203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231537203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231538171
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431231538187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231541484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431231542593
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431231542609
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431231544531
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431231551796
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431231553750
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431231561468
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431231567859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431232476218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431233568093
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431234360140
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431234366984
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431234367234
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431234399921
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431234404515
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431234406265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431234418625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431234424781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431234433734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431234437953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431234439078
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431234439093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431234439359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431234439390
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431234694578
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1431234694859
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1431234694890
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431234701250
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431234701515
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431234702609
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1431234703937
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1431234703953
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431234708046
