what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to get CElement for Macro",1431244582640
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431244582656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244598750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244612421
error,log,,,"Unable to get CElement for Macro",1431244615593
error,log,,,"Unable to get CElement for Macro",1431244615609
error,log,,,"Unable to get CElement for Macro",1431244615609
error,log,,,"Unable to get CElement for Macro",1431244615609
error,log,,,"Unable to get CElement for Macro",1431244615609
error,log,,,"Unable to get CElement for Macro",1431244615609
error,log,,,"Unable to get CElement for Macro",1431244615609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431244615625
error,log,,,"Unable to get CElement for Macro",1431244632703
error,log,,,"Unable to get CElement for Macro",1431244632703
error,log,,,"Unable to get CElement for Macro",1431244632703
error,log,,,"Unable to get CElement for Macro",1431244632703
error,log,,,"Unable to get CElement for Macro",1431244632703
error,log,,,"Unable to get CElement for Macro",1431244632703
error,log,,,"Unable to get CElement for Macro",1431244632703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431244632734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244644687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244657281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431244660859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244667078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244684437
error,log,,,"Unable to get CElement for Macro",1431244689078
error,log,,,"Unable to get CElement for Macro",1431244689078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431244689093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431244693515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244699625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244756140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431244758046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245447812
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431245587687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245635046
error,log,,,"Unable to get CElement for Macro",1431245665031
error,log,,,"Unable to get CElement for Macro",1431245665031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245665046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245682296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245687062
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245704687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245705515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245710015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431245722156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245741750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245771828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245773078
error,log,,,"Unable to get CElement for Macro",1431245794625
error,log,,,"Unable to get CElement for Macro",1431245794625
error,log,,,"Unable to get CElement for Macro",1431245794625
error,log,,,"Unable to get CElement for Macro",1431245794625
error,log,,,"Unable to get CElement for Macro",1431245794625
error,log,,,"Unable to get CElement for Macro",1431245794625
error,log,,,"Unable to get CElement for Macro",1431245794625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245794640
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245802203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245852421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245859859
error,log,,,"Unable to get CElement for Macro",1431245865656
error,log,,,"Unable to get CElement for Macro",1431245865656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245865671
error,log,,,"Unable to get CElement for Macro",1431245886359
error,log,,,"Unable to get CElement for Macro",1431245886359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1431245886375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245901000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431245939390
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431246064828
opened,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431246065093
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431246065156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431246093187
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431246100687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431246101718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431246110515
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431246123390
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1431246123750
