what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1431082646984
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1431082646984
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1431082647000
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1431082647000
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1431082647000
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1431082647000
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1431082647000
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1431082647000
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1431082647015
os,sysinfo,,,"win32",1431082647015
arch,sysinfo,,,"x86",1431082647015
ws,sysinfo,,,"win32",1431082647015
locale,sysinfo,,,"zh_CN",1431082647015
processors,sysinfo,,,"2",1431082647015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1431082647015
java.runtime.version,sysinfo,,,"1.6.0_07-b06",1431082647015
java.specification.name,sysinfo,,,"Java Platform API Specification",1431082647015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1431082647015
java.specification.version,sysinfo,,,"1.6",1431082647015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1431082647015
java.version,sysinfo,,,"1.6.0_07",1431082647015
java.vm.info,sysinfo,,,"mixed mode",1431082647015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1431082647015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1431082647015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1431082647015
java.vm.specification.version,sysinfo,,,"1.0",1431082647015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1431082647015
java.vm.version,sysinfo,,,"10.0-b23",1431082647015
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1431082648203
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1431082648218
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1431082664453
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431082664468
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431082664515
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1431082664515
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431082666421
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1431082673000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082681296
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1431082683234
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431082683265
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431082683265
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431082683296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082683328
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1431082683328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1431082683328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082687625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082706375
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1431082706375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082709937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082713343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082714437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082725500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082732984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082749062
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1431082749062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082755812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082764125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1431082764140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1431082764140
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAutomatically",1431082772781
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAutomatically",1431082774421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082776390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082777718
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431082777718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082777984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082778015
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431082781265
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431082781312
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1431082781312
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1431082790484
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1431082791046
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1431082791046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082791781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082796671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082798859
started,bundle,com.zylin.embeddedcdt,4.16.1,"com.zylin.embeddedcdt",1431082803125
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1431082803125
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1431082803265
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1431082803296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082853609
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1431082854812
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1431082854828
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1431082854828
error,log,,,"Internal error logged from CDI Debug: ",1431082855468
error,log,,,"Internal error logged from CDI Debug: ",1431082855468
error,log,,,"Internal error logged from CDI Debug: ",1431082855468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082855671
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1431082855953
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431082856015
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431082856187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431082858562
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1431082858687
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1431082858734
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.MemoryView",1431082858781
