what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431048829781
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1431048872781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048875062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048876453
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431048876468
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1431048880875
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431048883171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048884812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048887828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048893312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048899234
error,log,,,"Internal error logged from CDI Debug: ",1431048900859
error,log,,,"Internal error logged from CDI Debug: ",1431048900859
error,log,,,"Internal error logged from CDI Debug: ",1431048900859
error,log,,,"Internal error logged from CDI Debug: ",1431048900875
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1431048905015
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431048909625
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431048918296
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431048920406
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1431048923078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048933062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048933406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048933656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048933984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048934500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048936921
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431048944359
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431048944500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048947437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048951671
activated,perspective,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.CPerspective",1431048952703
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431048952703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048955625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048959000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048959031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431048962218
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431049033812
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431049043718
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431049044046
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431049044109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049070640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049142546
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1431049142562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049142890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049231328
executed,command,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.addTaskRepository",1431049231328
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431049232250
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1431049243296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1431049251328
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431049256562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049259953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049260859
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1431049260875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049265250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049267843
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1431049283765
error,log,,,"Internal error logged from CDI Debug: ",1431049289046
error,log,,,"Internal error logged from CDI Debug: ",1431049289046
error,log,,,"Internal error logged from CDI Debug: ",1431049289046
opened,view,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui.views.MakeView",1431049291093
activated,view,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui.views.MakeView",1431049291109
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1431049292593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049293859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049295062
error,log,,,"Internal error logged from CDI Debug: ",1431049297906
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1431049297937
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431049297937
activated,view,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1431049299062
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1431049299937
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431049301781
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1431049304062
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1431049315687
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1431049315828
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1431049318937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049318953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049320312
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1431049321906
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1431049323203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049332359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049333609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049334125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1431049341359
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1431049363218
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1431049365750
error,log,,,"Internal error logged from CDI Debug: ",1431049372875
